0,1,2,3,4,5,6
9380,0,1976,8,4,3,29040
5701,0,1962,5,2,1,23700
6303,0,1870,4,2,1,14820
1597,1,,5,2,1,43800
4462,0,1987,4,2,1,18000
3780,0,1968,5,3,1,29400
6743,0,1880,8,4,1,18420
10585,0,2013,14,4,3,8412
9785,0,1950,4,2,1,9540
26400,1,,18,10,5,78000
6302,0,1950,4,2,1,10140
4755,0,1959,4,2,1,35340
4982,0,1965,5,3,1,23844
8000,0,2004,7,5,2,35040
37489,0,1997,5,2,1,17700
5000,1,1953,7,3,1,19200
2091,0,2006,5,2,1,46368
11250,0,,8,2,1,9000
4125,0,1936,5,2,1,16860
