0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
mls_number,Lot area,Zoning,Use of property,Building style,Year built,Fireplace/Stove,Number of units,Residential units,Main unit,Potential gross revenue,Additional features,Building area,Parking,Available area,Type of business,Pool
11716488,,,Commercial and office space,,2012,,Commercial (1),,,,,"1,000 sqft",,"1,000 sqft",,
11726208,"90,218 sqft",,Industrial and offices,,1971,,Industrial (1),,,,,"1,200 sqft",,"1,200 sqft",,
11726598,,,Offices only,,2008,,Office (1),,,,,,,"1,607 sqft",,
11728224,,,Offices only,,"Under construction, New",,Office (2),,,,,"12,000 sqft",,"From 6,000 sqft to 12,000 sqft",,
11740579,,,Commercial and office space,,,,Commercial (1),,,,,,,"5,200 sqft",,
11748594,"15,382 sqft",,Commercial and office space,,1991,,Office (1),,,,,,,"2,433 sqft",,
11751008,,,Commercial and office space,,1982,,,,,,,"1,140 sqft",,,,
11761822,,,Commercial only,,,,Commercial (1),,,,,,,692 sqft,,
11764635,,,Commercial and office space,,1987,,Office (1),,,,,,,"2,200 sqft",,
11767211,,,Offices only,,2017,,Office (1),,,,,,,158 sqft,,
11785309,,,Commercial and office space,,,,Commercial (1),,,,,,,860 sqft,,
11793040,,,Commercial only,,1965,,Commercial (1),,,,,"3,000 sqft",,"3,000 sqft",Boutique,
11803661,,,Commercial only,,,,Commercial (1),,,,,,,167 sqft,Massotherapy,
11805239,,,Offices only,,2000,,Office (1),,,,,,,"9,710 sqft",,
11807033,,,Commercial and office space,,"To be built, New",,Commercial (1),,,,,"17,000 sqft",,"17,000 sqft",,
11809989,"8,106 sqft",,Commercial only,,2012,,Commercial (1),,,,,"6,271 sqft",,"1,466 sqft",,
11826875,,,Commercial and office space,,,,Commercial (1),,,,,,,400 sqft,,
11837912,,,Commercial and office space,,"To be built, New",,Commercial (1),,,,,,,"1,000 sqft",,
11851360,,,Commercial and office space,,,,Commercial (1),,,,,632 sqft,,632 sqft,,
11852756,,,Offices only,,,,Commercial (1),,,,,,,114 sqft,,
11853701,,,Offices only,,Unknown age,,Office (1),,,,,,,"1,898 sqft",,
11858515,"15,808 sqft",,Commercial only,,1980,,Commercial (1),,,,,"1,500 sqft",,"1,500 sqft",Garage,
11874804,,,Commercial and office space,,,,Office (1),,,,,,,810 sqft,,
11892092,,,Commercial only,,Unknown age,,Commercial (1),,,,,,,546 sqft,Other,
11899754,,,Commercial only,,"1950, Being converted",,Commercial (1),,,,,,,"3,000 sqft",Restaurant,
11900062,,,Commercial only,,2011,,Commercial (1),,,,,,,"1,200 sqft",Boutique,
11908297,,,Commercial and office space,,1988,,Commercial (1),,,,,,,405 sqft,,
11911614,,,Offices only,,,,Office (1),,,,,,,"7,000 sqft",,
11942594,,,Offices only,,1977,,Commercial (1),,,,,,,"1,694 sqft",,
11947325,"6,275 sqft",,Commercial and office space,,2013,,Commercial (1),,,,,"3,000 sqft",,262 sqft,,
11958103,,,Commercial and office space,,,,Commercial (1),,,,,,,"2,262 sqft",,
11963025,,,Offices only,,2017,,Commercial (1),,,,,,,113 sqft,,
11963583,,,Commercial only,,1985,,Commercial (1),,,,,"1,280 sqft",,"1,280 sqft","Dating agency, Travel agency, Furniture store, Pet shop, Electronics, Sporting goods, Arts and Crafts, Jewellery store, Boutique, Bakery, Snack bar, Coffee/Donuts, Health centre, Deli/Cheese shop, Accounting, Candy/Chocolate shop, Shoe repair shop, Ice cream shop, Decoration, Driving school, Florist, Computing equipment, Newsstand, Bookstore, Lingerie, Massotherapy, Stationery store, Restaurant, Fast food, Beauty salon, Hairdresser, Tanning salon, Pet grooming, Caterer",
11971684,,,Commercial and residential,,1901,,Commercial (1),,,,,,,"2,700 sqft",Boutique,
11983603,,,Commercial only,,1970,,Commercial (1),,,,,"1,200 sqft",,"1,200 sqft",Detail+service+restaurant,
11986388,,,Commercial only,,,,Commercial (1),,,,,,,110 sqft,,
11997676,,,Commercial only,,"1944, Historic",,Commercial (1),,,,,"3,256 sqft",,"3,256 sqft",,
12001629,,,Commercial and industrial,,,,Commercial (1),,,,,,,"30,000 sqft",,
12011665,,,Commercial and office space,,"To be built, New",,Commercial (1),,,,,,,"10,000 sqft",,
12019607,"3,000 sqft",,Offices only,,1930,,Office (1),,,,,,,"1,780 sqft","Dating agency, Travel agency, Apiculture, Health centre, Massotherapy, Professional offices",
12028607,"4,371 sqft",,Commercial and office space,,1987,,Commercial (1),,,,,"1,102 sqft",,"1,000 sqft",,
12030616,"43,067 sqft",,Commercial and industrial,,"To be built, New",,Commercial (1),,,,,"8,260 sqft",,"3,265 sqft",,
12044223,,,Commercial and office space,,"2013, New",,Commercial (1),,,,,,,"2,400 sqft",,
12052098,,,Commercial only,,,,Commercial (1),,,,,,,"6,000 sqft",,
12068155,,,Commercial and office space,,Unknown age,,Office (1),,,,,,,950 sqft,,
12070640,,,Commercial only,,1963,,Commercial (1),,,,,,,"1,200 sqft",,
12074762,,,Offices only,,,,Office (4),,,,,,,From 100 sqft to 500 sqft,,
12098425,"28,435 sqft",,Commercial and office space,,1987,,Commercial (1),,,,,"4,215 sqft",,"4,010 sqft",,
12115795,,,Commercial only,,,,Commercial (1),,,,,,,250 sqft,Hairdresser,
12129391,,,Offices only,,1928,,Office (1),,,,,,,"20,000 sqft",,
12131091,"16,000 sqft",,Commercial only,,1964,,Commercial (1),,,,,,,"8,272 sqft",Other,
12143802,,,Commercial and office space,,,,Office (2),,,,,,,"From 800 sqft to 2,400 sqft",,
12148582,,,Commercial only,,,,Commercial (1),,,,,,,"3,500 sqft",,
12148815,,,Commercial only,,,,Commercial (1),,,,,"1,975 sqft",,"1,975 sqft",,
12171448,,,Commercial only,,Unknown age,,Commercial (4),,,,,,,"From 332 sqft to 1,508 sqft",,
12181734,,,Offices only,,,,Office (1),,,,,,,"1,928 sqft",,
12195895,,,Industrial and offices,,,,Industrial (1),,,,,"7,094 sqft",,"7,094 sqft",,
12200244,,,Commercial and office space,,,,Commercial (1),,,,,,,"5,000 sqft",,
12206152,,,Commercial and office space,,,,Commercial (1),,,,,,,"1,036 sqft",,
12221523,"155,777 sqft",,Commercial and office space,,,,"Office (1), Warehouse (1)",,,,,,,"From 2,000 sqft to 9,500 sqft",Other,
12233387,,,Commercial and office space,,,,Commercial (1),,,,,,,"2,400 sqft",,
12243064,"44,000 sqft",,Commercial and office space,,Unknown age,,"Commercial (1), Office (1)",,,,,"24,315 sqft",,"From 6,000 sqft to 16,500 sqft",,
12251482,,,Commercial and office space,,1969,,Office (1),,,,,,,900 sqft,,
12271732,,,Offices only,,Unknown age,,Warehouse (1),,,,,"1,030 sqft",,"1,030 sqft",,
12272432,"8,040 sqft",,Commercial and office space,,1930,,Commercial (1),,,,,"1,617 sqft",,"1,617 sqft",,
12276402,,,Commercial only,,,,Commercial (1),,,,,,,"10,000 sqft",,
12278386,"7,700 sqft",,Commercial only,,1985,,Commercial (1),,,,,"1,428 sqft",,"1,428 sqft",,
12290466,"19,525 sqft",,Commercial and office space,,1970,,Commercial (1),,,,,"6,050 sqft",,"6,050 sqft",,
12291119,,,Commercial and office space,,1968,,Commercial (1),,,,,,,"1,270 sqft",,
12309917,,,Commercial and industrial,,,,Commercial (1),,,,,580 sqft,,580 sqft,,
